employee_id,asset_id,assigned_date,return_date,location,status,condition,serial_number,model_number,warranty_expiration,maintenance_schedule,maintenance_last_date,maintenance_next_date
90,63,9/9/2020,6/28/2021,remote,pending,new,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,5/25/2026,monthly,11/20/2022,7/31/2021
99,99,7/2/2020,1/9/2022,warehouse,inactive,refurbished,morbi a ipsum integer a nibh in quis justo maecenas,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,9/11/2028,quarterly,1/9/2022,5/25/2020
92,64,10/11/2020,7/1/2021,remote,inactive,new,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,4/24/2029,quarterly,7/12/2021,5/26/2021
12,50,6/16/2021,3/14/2021,warehouse,active,used,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,5/4/2026,monthly,12/4/2022,8/14/2022
16,7,6/21/2020,10/6/2021,warehouse,pending,refurbished,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,12/14/2028,annually,8/3/2021,8/5/2021
12,48,1/5/2020,4/22/2020,warehouse,pending,new,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,10/5/2023,annually,5/24/2022,6/12/2022
74,8,8/3/2022,11/13/2021,remote,inactive,new,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,7/14/2025,annually,11/11/2020,8/13/2021
21,83,2/27/2022,5/23/2021,warehouse,pending,used,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,9/21/2026,annually,7/29/2022,7/6/2022
52,2,11/7/2022,7/19/2021,remote,inactive,new,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,in eleifend quam a odio in hac habitasse platea dictumst,8/5/2024,monthly,3/25/2021,7/9/2021
7,48,1/8/2022,4/28/2020,remote,pending,used,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,12/15/2022,quarterly,2/29/2020,10/23/2021
42,92,5/1/2021,1/9/2020,office,inactive,new,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,11/3/2025,quarterly,4/3/2020,6/3/2021
88,39,5/10/2021,10/17/2021,remote,pending,used,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,3/29/2026,quarterly,1/11/2020,3/9/2020
44,48,3/14/2021,4/22/2020,warehouse,inactive,new,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,11/7/2027,annually,2/10/2021,4/2/2022
20,73,1/7/2020,11/7/2021,office,pending,new,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,5/24/2027,quarterly,8/22/2021,2/27/2021
97,95,2/9/2020,3/29/2020,warehouse,active,refurbished,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,9/30/2022,quarterly,7/11/2021,11/21/2021
