event_type,timestamp,device_type,interaction_duration,purchase_amount,location_latitude,location_longitude,customer_id,product_id
interaction,9/28/2014,desktop,3244,975.76,52.1024489,4.6477615,656,63
purchase,2/7/2018,desktop,2876,886.35,-13.65232,-41.843571,831,5
purchase,1/9/2015,desktop,734,577.06,-0.1423977,100.4902451,225,2
view,2/17/2024,tablet,3596,239.28,33.9850358,51.4099625,974,25
view,1/6/2007,desktop,1134,966.02,0.355636,37.5833061,550,91
view,11/11/2010,mobile,898,278.2,-9.4718308,-78.3006626,169,86
purchase,12/5/2018,tablet,313,196.59,51.8610022,-8.334953,912,19
purchase,1/18/2008,desktop,2622,270.83,-33.1228052,-58.2975552,865,100
interaction,6/11/2013,desktop,2473,633.33,45.2303117,20.2078344,942,23
interaction,11/1/2015,desktop,2317,869.28,33.0726276,131.8737341,822,54
purchase,9/6/2017,desktop,3517,435.59,49.9958981,31.5594099,715,70
view,1/26/2014,tablet,643,892.66,9.5287247,-68.6290501,550,7
purchase,12/1/2018,mobile,3058,952.63,19.9104798,99.840576,402,10
view,5/13/2018,tablet,893,442.35,14.3705235,120.8168869,367,7
click,11/20/2024,mobile,2349,966.58,41.1823974,20.15515,888,24
interaction,12/11/2023,tablet,2214,350.23,-8.9,34.583333,942,40
click,12/9/2003,tablet,477,716.84,45.697904,0.964671,90,76
click,9/22/2005,desktop,976,257.07,23.624141,116.289146,957,4
view,10/23/2017,tablet,1147,820.26,14.7569624,121.0774147,406,64
view,6/19/2009,mobile,1614,777.96,36.0932201,139.4440586,734,77
view,1/15/2006,mobile,532,675.12,-10.32553,-76.087997,796,21
view,9/26/2000,mobile,2027,497.63,58.041296,63.6850141,173,30
click,3/22/2017,tablet,259,307.61,57.8661799,47.1083094,604,38
view,12/24/2024,tablet,1947,169.09,13.4841015,-88.4670322,988,13
click,8/3/2007,desktop,2806,37.82,66.5299478,66.6127258,227,84
view,4/27/2009,desktop,112,115.17,-17.8519791,25.8285153,592,42
purchase,7/9/2013,desktop,1738,990.87,14.2157645,109.1166566,58,13
interaction,3/27/2011,mobile,2737,244.95,52.4460804,-9.4851741,153,38
